id,series_id,position,gametitle,displaytitle,gameshort,prefix,spotify_id,deezer_id,tidal_id,soundcloud_id,youtube_id,game_status
37,1,8,DriveClub,DriveClub,driveclub,,7gUyu2Ytp5WYzrZ2Y94WoA,11425158384,18a02624-5144-4e5d-a03b-5acfdfe637cc,,NULL,RELEASED
38,55,5,Project CARS,Project CARS,cars,,6IQgGHKHWJXUvPyRiHb7cu,11425163044,7ba3cfb7-eaff-4629-914e-b762026338a6,,NULL,RELEASED
40,5,5,Street Racing,Midnight Club Street Racing,streetracing,Midnight Club,1Q3GjGcGzUQlx5bWVHathq,11425159324,5f4e9a93-255d-444d-bc1a-0403925edeba,,NULL,RELEASED
41,5,4,Midnight Club II,Midnight Club II,mc2,,66tRwACYjZDx2JzUanyFf5,11425159304,02d28ac7-ed16-4eee-8909-e17686623b29,,NULL,RELEASED
42,5,3,3: DUB Edition,Midnight Club 3: DUB Edition,3dub,Midnight Club,4b8DxdOrmagG5qZd7hKekC,11425159244,5eced28a-5816-46af-b82d-ea7a0e24a8a0,,NULL,RELEASED
43,5,2,Los Angeles,Midnight Club Los Angeles,losangeles,Midnight Club,5WM2BqEjglWbsu2oUm9aMb,11425159184,03ff3336-1b79-4810-9c67-e6e5f1b23db4,,NULL,RELEASED
44,5,1,3: DUB Edition Remix,Midnight Club 3: DUB Edition Remix,3dubremix,Midnight Club,5okK7h6uWu4U9PykwQkJe4,11425159104,bf8ea2e7-3aa4-410e-871e-36b11d6c73bf,,NULL,RELEASED
45,13,1,GRID Autosport,GRID Autosport,grida,,71zuIFOI49ydZXYWFrPfaW,11425163184,a27bc439-8862-4df5-9e49-8548142f3182,,NULL,RELEASED
46,7,9,DiRT,Colin McRae DiRT,dirt,Colin McRae,4hE87Cng3zVJACgPeVOVvA,11425160164,da9f04dc-3fc5-4ad6-b863-298f159c9aa8,,NULL,RELEASED
47,7,8,DiRT 2,Colin McRae DiRT 2,dirt2,Colin McRae,3RWSO9sKiDVeLG7WlNtkrH,11425160144,a1ed171b-4d78-4afc-9f36-1fd784ac3a56,,NULL,RELEASED
48,7,7,DiRT 3,DiRT 3,dirt3,,2FPUxyCHYvkfQaMECQRtNQ,11425160084,2cedac95-2d26-48af-b517-8cf86ccc588a,,NULL,RELEASED
49,7,6,Showdown,DiRT Showdown,showdown,DiRT,6IJDxtzimB4mLGEqJ9VpeJ,11425160044,c7ade00e-9711-4e2b-9f85-d8b20e4ed213,,NULL,RELEASED
50,6,8,FlatOut,FlatOut,flatout,,2DfUF2jzyFY9wgoakpNL1b,11425159944,db5de975-1654-40ac-bb48-990ff7743114,,NULL,RELEASED
51,6,7,FlatOut 2,FlatOut 2,flatout2,,5u6snaUpU8UZSc5j2wMw5K,11425159904,f12bcc5a-be55-49a4-bc6f-c5b3b0e2abcc,,NULL,RELEASED
52,6,6,Ultimate Carnage,Flatout Ultimate Carnage,carnage,Flatout,1H8sxMD1h206NFnSp7sDQH,11425159884,8f6d39e0-edba-46ad-bbd3-a37ba56e7c84,,NULL,RELEASED
53,6,4,FlatOut (Wii),FlatOut (Wii),flatoutwii,,13NUwDv4B7PDM33RaKkN3P,11425159844,22b498e4-8f56-41f1-b232-a8f117e2f7e7,,NULL,RELEASED
54,6,3,3: Chaos & Destruction,FlatOut 3: Chaos & Destruction,flatout3,FlatOut,7J7PWIXPZUbTpbUx0eOJIw,11425159824,1aaada34-8397-4b98-8e8e-e169ebe71381,,NULL,RELEASED
55,8,20,Urban GT,Asphalt Urban GT,urbangt,Asphalt,,,,,NULL,RELEASED
56,8,19,Urban GT 2,Asphalt Urban GT 2,urbangt2,Asphalt,1xfRNlqtZ3F0UfYcIIxtPU,11425157264,850c7ca9-b573-4d9b-87b8-3cd41208eb55,,NULL,RELEASED
57,8,18,3: Street Rules,Asphalt 3: Street Rules,asphalt3,Asphalt,,,,,NULL,RELEASED
58,8,16,4: Elite Racing,Asphalt 4: Elite Racing,asphalt4,Asphalt,,,,,NULL,RELEASED
59,8,14,Asphalt 5,Asphalt 5,asphalt5,,,,,,NULL,RELEASED
60,8,13,6: Adrenaline,Asphalt 6: Adrenaline,asphalt6,Asphalt,,,,,NULL,RELEASED
61,8,12,Asphalt 3D,Asphalt 3D,asphalt3d,,2V97goQx3a3VtSMNsockD8,11425157244,b5d0fa54-c9a2-44a9-8d0f-29e4210bf9c0,,NULL,RELEASED
62,8,9,Injection,Asphalt Injection,asphaltpsvita,Asphalt,,,,,NULL,RELEASED
63,8,8,7: Heat,Asphalt 7: Heat,asphalt7,Asphalt,,,,,NULL,RELEASED
64,8,7,8: Airborne,Asphalt 8: Airborne,asphalt8,Asphalt,62Z4rNVswk4gPy0IHD0k5m,3479406742,47bdf5e1-607c-455f-8728-0787db55f445,,NULL,RELEASED
65,65,2,Beyond Cars (cancelled),Beyond Cars (cancelled),beyond-cars,,5iJOWt4j4CDOLJ3gbKBxFF,11425176444,00aa937f-d47b-4ce7-9aa6-847006a9240a,,NULL,RELEASED
